08/14/2024-20:23:03.576452  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49994 -> 72.5.43.29:80
08/14/2024-20:17:12.982458  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49909 -> 72.5.43.29:80
08/14/2024-20:23:10.811843  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49995 -> 72.5.43.29:80
08/14/2024-20:17:36.503207  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49914 -> 72.5.43.29:80
08/14/2024-20:23:30.967307  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49999 -> 72.5.43.29:80
08/14/2024-20:18:25.692516  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49923 -> 72.5.43.29:80
08/14/2024-20:18:40.182930  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49926 -> 72.5.43.29:80
08/14/2024-20:18:53.642486  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49929 -> 72.5.43.29:80
08/14/2024-20:24:06.505067  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50005 -> 72.5.43.29:80
08/14/2024-20:19:00.855349  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49930 -> 72.5.43.29:80
08/14/2024-20:24:16.556521  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50007 -> 72.5.43.29:80
08/14/2024-20:19:11.342612  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49934 -> 72.5.43.29:80
08/14/2024-20:24:49.325329  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50013 -> 72.5.43.29:80
08/14/2024-20:16:40.887364  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49902 -> 72.5.43.29:80
08/14/2024-20:24:56.431898  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50014 -> 72.5.43.29:80
08/14/2024-20:19:15.751612  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49940 -> 72.5.43.29:80
08/14/2024-20:25:08.578805  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50016 -> 72.5.43.29:80
08/14/2024-20:19:26.102510  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49943 -> 72.5.43.29:80
08/14/2024-20:16:46.418204  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49904 -> 72.5.43.29:80
08/14/2024-20:19:32.984443  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49944 -> 72.5.43.29:80
08/14/2024-20:19:40.072427  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49945 -> 72.5.43.29:80
08/14/2024-20:17:23.418976  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49912 -> 72.5.43.29:80
08/14/2024-20:15:13.767071  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49882 -> 72.5.43.29:80
08/14/2024-20:18:21.734176  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49922 -> 72.5.43.29:80
08/14/2024-20:16:16.002776  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49885 -> 72.5.43.29:80
08/14/2024-20:25:48.507974  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50031 -> 72.5.43.29:80
08/14/2024-20:16:22.854949  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49886 -> 72.5.43.29:80
08/14/2024-20:18:29.522318  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49924 -> 72.5.43.29:80
08/14/2024-20:26:01.637987  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:50034 -> 72.5.43.29:80
08/14/2024-20:18:46.210641  [**] [1:2052557:2] ET MALWARE BadSpace/WarmCookie CnC Activity (GET) M1 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 10.8.15.133:49927 -> 72.5.43.29:80
